# D_loss, G_loss
1.387473464012145996e+00,6.352095007896423340e-01
1.395484089851379395e+00,6.323760151863098145e-01
1.405885457992553711e+00,6.245979070663452148e-01
1.404838562011718750e+00,6.414444446563720703e-01
1.386125922203063965e+00,6.272358894348144531e-01
1.395147204399108887e+00,6.397917270660400391e-01
1.390464067459106445e+00,6.556617617607116699e-01
1.397844552993774414e+00,6.310803890228271484e-01
1.408221244812011719e+00,6.347086429595947266e-01
1.389008283615112305e+00,6.188067197799682617e-01
1.374294996261596680e+00,6.344356536865234375e-01
1.386586427688598633e+00,6.286804676055908203e-01
1.398278951644897461e+00,6.473587751388549805e-01
1.401395201683044434e+00,6.295747756958007812e-01
1.422510862350463867e+00,6.252327561378479004e-01
1.407886385917663574e+00,6.257155537605285645e-01
1.408480167388916016e+00,6.176075339317321777e-01
1.418668150901794434e+00,6.390548348426818848e-01
1.407124161720275879e+00,6.271253824234008789e-01
1.404302597045898438e+00,6.285266876220703125e-01
1.403456926345825195e+00,6.232663393020629883e-01
1.400561928749084473e+00,6.247753500938415527e-01
1.403422117233276367e+00,6.238142848014831543e-01
1.419983863830566406e+00,6.189346313476562500e-01
1.427309989929199219e+00,6.209018230438232422e-01
1.398086786270141602e+00,6.225258708000183105e-01
1.418266177177429199e+00,6.263998746871948242e-01
1.394208669662475586e+00,6.313554644584655762e-01
1.406857848167419434e+00,6.338164806365966797e-01
1.413076639175415039e+00,6.342127919197082520e-01
1.396332740783691406e+00,6.321756243705749512e-01
1.393711686134338379e+00,6.335556507110595703e-01
1.407639026641845703e+00,6.298586130142211914e-01
1.419336199760437012e+00,6.163179874420166016e-01
1.402777552604675293e+00,6.292744278907775879e-01
1.392756700515747070e+00,6.310864090919494629e-01
1.400926113128662109e+00,6.289830207824707031e-01
1.391808032989501953e+00,6.310201883316040039e-01
1.405371308326721191e+00,6.393536925315856934e-01
1.403043985366821289e+00,6.204628944396972656e-01
1.400061845779418945e+00,6.289517283439636230e-01
1.406365036964416504e+00,6.255289316177368164e-01
1.407039403915405273e+00,6.272951364517211914e-01
1.404140233993530273e+00,6.337020397186279297e-01
1.423937916755676270e+00,6.184654831886291504e-01
